Species,Abbreviation,Climatic type,Subfamily,C3/C4,decimalLatitude,decimalLongitude
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.52,-0.37
Andropogon chinensis,Ach,tropical,Panicoideae,C4,8.15,-2.04
Andropogon chinensis,Ach,tropical,Panicoideae,C4,8.47,-1.28
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.08,-1.32
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.48,-1.29
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.11,0.3
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.42,-2.47
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.38,0.11
Andropogon chinensis,Ach,tropical,Panicoideae,C4,8.13,-2.04
Andropogon chinensis,Ach,tropical,Panicoideae,C4,8.2,0.18
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.01,-2.24
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.12,-2.13
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.05,-1.49
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.56,-0.29
Andropogon chinensis,Ach,tropical,Panicoideae,C4,8.36,0.31
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.49,-1.29
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.11,0.3
Andropogon chinensis,Ach,tropical,Panicoideae,C4,8.3,0.17
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.48,-1.29
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.01,-2.24
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.25,0.01
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.23,-1.59
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.12,-2.13
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.38,0.11
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.08,-1.32
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9,0.32
Andropogon chinensis,Ach,tropical,Panicoideae,C4,8.52,0.06
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.23,-1.59
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.52,-1.59
